wavenumber,neuron-1 sub,neuron-2 sub,neuron-3 sub,neuron-4 sub,neuron-5 sub,neuron-6 sub
870,157.32,33.647,79.671,64.625,276.16,156.67
871,196.74,65.076,72.975,89.55,344.94,202.2
872,216.41,144.47,68.74,88.027,401.57,230.82
873,236.09,223.86,64.506,86.504,458.19,259.44
874,255.76,303.26,60.271,84.981,514.81,288.06
875,254.99,336.2,72.334,80.181,513.44,313.79
876,234.34,323.97,100.24,72.193,455.66,336.69
877,213.7,311.75,128.16,64.205,397.89,359.6
878,193.05,299.52,156.07,56.217,340.11,382.51
879,213.01,283.28,147.1,50.273,348.86,366.62
880,244.03,265.95,128.1,44.886,375.72,340.16
881,275.05,248.62,109.09,39.499,402.57,313.71
882,304.95,235.14,97.485,36.767,428.88,287.47
883,319.95,272.67,184.16,69.324,447.82,264.11
884,334.95,310.2,270.83,101.88,466.76,240.74
885,349.95,347.73,357.51,134.44,485.7,217.38
886,356.06,380.59,409.65,174.2,488.14,210.09
887,346.22,405.07,399.86,226.87,461.01,231.62
888,336.39,429.55,390.07,279.55,433.88,253.15
889,326.56,454.03,380.27,332.22,406.74,274.68
890,354.47,450.28,386.28,325.93,401.56,278.18
891,402.72,431.33,400.79,287.88,408.19,271.96
892,450.96,412.38,415.3,249.83,414.83,265.74
893,499.21,393.43,429.81,211.79,421.46,259.52
894,433.75,348.51,445.55,221.18,389.53,223.79
895,361.93,302.14,461.37,233.24,355.45,186.4
896,290.12,255.76,477.18,245.29,321.36,149.01
897,244.62,238.94,477.91,251.4,307.63,132.88
898,278.51,311.23,433.13,239.59,355.31,180.89
899,312.4,383.52,388.35,227.77,402.98,228.89
900,346.3,455.81,343.56,215.96,450.66,276.9
901,352.02,446.08,308.82,257.34,460.74,287.12
902,335.17,370.59,282.12,341.36,440.68,267.05
903,318.32,295.1,255.42,425.38,420.62,246.98
904,301.46,219.62,228.72,509.4,400.56,226.91
905,322.28,277.27,200.59,420.6,370.58,217.1
906,348.93,355.52,172.23,305.06,339.07,208.87
907,375.58,433.77,143.87,189.53,307.55,200.64
908,383.04,494.08,120.25,98.81,273.39,202.67
909,302.49,472.08,118.4,121.95,227.02,251.72
910,221.94,450.07,116.55,145.09,180.66,300.77
911,141.39,428.06,114.69,168.23,134.3,349.82
912,48.384,379.58,83.013,176.73,103.24,399.3
913,92.344,349.06,181.02,193.29,143.81,393.49
914,141.89,320.21,284.99,210.7,186.47,385.59
915,191.44,291.36,388.96,228.12,229.14,377.69
916,238.27,263.88,474.5,245.21,266.99,373.14
917,262.51,247.85,406.18,259.62,264.63,396.54
918,286.75,231.82,337.86,274.04,262.28,419.94
